,entropy,raw_entropy,norm_entropy_rank,raw_entropy_rank,avg_rank,final_rank
css:User-Agent,0.94,7.889,5.0,1.0,3.0,1
css:env-12-width,0.813,3.572,11.0,4.0,7.5,2
css:env-10-width,0.78,3.621,14.0,3.0,8.5,3
css:calc-10-width,0.95,2.206,4.0,14.0,9.0,4
css:env-12-height,0.793,2.744,12.0,6.0,9.0,4
css:env-6-width,0.787,3.147,13.0,5.0,9.0,4
css:calc-3-width,0.901,2.329,7.0,12.0,9.5,7
css:env-9-width,0.736,3.644,17.0,2.0,9.5,7
css:calc-2-width,0.877,2.268,8.0,13.0,10.5,9
css:calc-9-width,0.913,2.119,6.0,16.0,11.0,10
css:calc-6-width,0.977,1.955,2.0,21.0,11.5,11
css:calc-7-width,0.977,1.955,2.0,21.0,11.5,11
css:env-2-height,0.719,2.576,18.0,7.0,12.5,13
css:env-1-width,0.857,1.989,9.0,20.0,14.5,14
css:calc-8-width,0.981,1.555,1.0,31.0,16.0,15
css:env-13-width,0.684,2.365,21.0,11.0,16.0,15
css:env-8-width,0.714,2.143,19.0,15.0,17.0,17
css:env-13-height,0.626,2.504,28.0,8.0,18.0,18
css:env-7-width,0.64,2.369,26.0,10.0,18.0,18
css:calc-5-width,0.853,1.707,10.0,27.0,18.5,20
css:calc-4-width,0.74,1.719,16.0,25.0,20.5,21
css:env-6-height,0.649,2.058,24.0,18.0,21.0,22
css:env-7-height,0.559,2.416,35.0,9.0,22.0,23
css:env-8-height,0.585,2.097,32.0,17.0,24.5,24
css:media-10-width,0.663,1.714,23.0,26.0,24.5,24
css:viewport_width,0.614,1.945,29.0,23.0,26.0,26
css:env-10-height,0.591,1.772,31.0,24.0,27.5,27
css:env-11-height,0.557,1.997,37.0,19.0,28.0,28
css:media-4-width,0.768,0.768,15.0,42.0,28.5,29
css:media-8-width,0.678,1.075,22.0,36.0,29.0,30
css:env-3-height,0.608,1.572,30.0,30.0,30.0,31
css:font_vector,0.636,1.476,27.0,33.0,30.0,31
css:image-set-heif,0.645,1.023,25.0,38.0,31.5,33
css:media-5-width,0.694,0.694,20.0,43.0,31.5,33
css:env-1-height,0.581,1.632,34.0,29.0,31.5,33
css:env-9-height,0.557,1.672,36.0,28.0,32.0,36
css:env-14-width,0.582,1.351,33.0,34.0,33.5,37
css:env-2-width,0.507,1.522,39.0,32.0,35.5,38
css:media-7-width,0.518,0.821,38.0,40.0,39.0,39
css:viewport_height,0.387,1.285,44.0,35.0,39.5,40
css:px_per_px,0.5,0.792,40.0,41.0,40.5,41
css:media-6-width,0.422,0.981,43.0,39.0,41.0,42
css:env-5-width,0.251,1.024,45.0,37.0,41.0,42
css:env-3-width,0.465,0.465,41.0,44.0,42.5,44
css:media-2-width,0.426,0.426,42.0,45.0,43.5,45
css:env-14-height,0.212,0.335,46.0,46.0,46.0,46
css:media-9-width,0.11,0.175,47.0,47.0,47.0,47
css:env-11-width,0.022,0.022,48.0,48.0,48.0,48
css:env-5-height,0.0,0.0,49.0,49.0,49.0,49
css:media-3-width,0.0,0.0,49.0,49.0,49.0,49
css:javascript,0.0,0.0,49.0,49.0,49.0,49
css:media-1-width,0.0,0.0,49.0,49.0,49.0,49
